code1,code2,distance
ae,hr,0.5217
ae,ht,0.5263
ae,hu,0.4711
ae,id,0.778
ae,ie,0.6716
ae,il,0.6496
ae,im,0.6019
ae,in,0.4989
ae,io,0.5764
ae,iq,0.3936
ae,ir,0.4559
ae,is,0.5701
ae,it,0.6663
ae,je,0.7244
ae,jm,0.5962
ae,jo,0.3432
ae,jp,0.8196
ae,ke,0.5518
ae,kg,0.7224
ae,kh,0.5513
ae,ki,0.6216
ae,km,0.5785
ae,kn,0.5682
ae,kp,0.5981
ae,kr,0.7564
ae,kw,0.3605
ae,ky,0.5987
ae,kz,0.6658
ae,la,0.5603
ae,lb,0.5601
ae,lc,0.7473
ae,li,0.5732
ae,lk,0.5868
ae,lr,0.6196
ae,ls,0.5061
ae,lt,0.6501
ae,lu,0.5807
ae,lv,0.5367
ae,ly,0.6651
ae,ma,0.6597
ae,mc,0.7137
ae,md,0.6474
ae,me,0.6728
ae,mf,0.6412
ae,mg,0.6747
ae,mh,0.5932
ae,mk,0.6189
ae,ml,0.648
ae,mm,0.608
ae,mn,0.5872
ae,mo,0.606
ae,mp,0.6306
ae,mq,0.5207
ae,mr,0.6096
ae,ms,0.5907
ae,mt,0.6944
ae,mu,0.6095
ae,mv,0.5768
ae,mw,0.5354
ae,mx,0.6521
ae,my,0.6498
ae,mz,0.6599
ae,na,0.5515
ae,nc,0.5479
ae,ne,0.5343
ae,nf,0.6543
ae,ng,0.6691
ae,ni,0.5522
ae,nl,0.4631
ae,no,0.571
ae,np,0.519
ae,nr,0.6355
ae,nu,0.7142
ae,nz,0.6268
ae,om,0.5839
ae,pa,0.6911
ae,pe,0.6189
ae,pf,0.5494
ae,pg,0.5696
ae,ph,0.5807
ae,pk,0.6562
ae,pl,0.6274
ae,pm,0.555
ae,pn,0.576
ae,pr,0.7114
ae,ps,0.3206
ae,pt,0.6881
ae,pw,0.7485
ae,py,0.5007
ae,qa,0.6858
ae,re,0.632
ae,ro,0.6355
ae,rs,0.7156
ae,ru,0.6988
ae,rw,0.5843
ae,sa,0.6323
ae,sb,0.5896
ae,sc,0.5813
ae,sd,0.3813
ae,se,0.6006
ae,sg,0.7378
ae,sh,0.5997
ae,si,0.7303
ae,sj,0.571
ae,sk,0.6711
ae,sl,0.4919
ae,sm,0.6973
ae,sn,0.6492
ae,so,0.688
ae,sr,0.6196
ae,ss,0.5843
ae,st,0.501
ae,sv,0.5212
ae,sx,0.6183
ae,sy,0.3575
ae,sz,0.5756
ae,tc,0.5997
ae,td,0.634
ae,tf,0.6348
ae,tg,0.582
ae,th,0.694
ae,tj,0.515
ae,tk,0.6451
ae,tl,0.6566
ae,tm,0.5458
ae,tn,0.6721
ae,to,0.6994
ae,tr,0.7044
ae,tt,0.5746
ae,tv,0.6468
ae,tw,0.7218
ae,tz,0.6207
ae,ua,0.6815
ae,ug,0.6374
ae,um,0.6035
ae,us,0.6035
ae,uy,0.7017
ae,uz,0.4792
ae,va,0.7355
ae,vc,0.6345
ae,ve,0.6341
ae,vg,0.589
ae,vi,0.7396
ae,vn,0.742
ae,vu,0.5914
ae,wf,0.5966
ae,ws,0.6043
ae,xk,0.6264
ae,ye,0.3849
ae,yt,0.764
ae,za,0.5709
ae,zm,0.6371
ae,zw,0.6689
af,ad,0.5182
af,ae,0.5304
af,af,0.0
af,ag,0.5049
af,ai,0.5592
af,al,0.6743
af,am,0.5518
af,ao,0.4621
af,aq,0.6674
af,ar,0.7277
af,as,0.5632
af,at,0.6544
af,au,0.5678
af,aw,0.6539
af,ax,0.5334
af,az,0.5637
af,ba,0.5262
af,bb,0.4598
af,bd,0.485
af,be,0.4572
af,bf,0.5487
af,bg,0.6526
af,bh,0.7222
af,bi,0.5719
af,bj,0.5358
af,bl,0.8321
af,bm,0.551
af,bn,0.6538
af,bo,0.4833
af,bq,0.6809
af,br,0.5026
af,bs,0.4777
af,bt,0.6413
af,bv,0.5662
af,bw,0.6481
af,by,0.5203
af,bz,0.4932
af,ca,0.7019
af,cc,0.5756
af,cd,0.6471
af,cf,0.5715
af,cg,0.5492
af,ch,0.6737
af,ci,0.5921
af,ck,0.5419
af,cl,0.6138
af,cm,0.5112
